year,station_id,accumulate_precipitation
1986,USC00120177,10555.0
1986,USC00120200,9635.0
1986,USC00120676,10279.0
1986,USC00120784,8930.0
1986,USC00121030,9456.0
1986,USC00121229,11477.0
1986,USC00121425,11094.0
1986,USC00121747,9460.0
1986,USC00121873,8829.0
1986,USC00122149,8017.0
1986,USC00123418,9110.0
1986,USC00123513,11448.0
1986,USC00123527,11349.0
1986,USC00124008,9513.0
1986,USC00124181,10082.0
1986,USC00124837,9736.0
1986,USC00125237,9851.0
1986,USC00125337,11208.0
1986,USC00126001,10720.0
1986,USC00126580,10369.0
1986,USC00126705,7812.0
1986,USC00127125,10559.0
1986,USC00127298,10650.0
1986,USC00127482,10077.0
1986,USC00127522,10264.0
1986,USC00127646,10851.0
1986,USC00127755,10200.0
1986,USC00127875,9710.0
1986,USC00127935,9684.0
1986,USC00128036,11055.0
1986,USC00129080,9488.0
1986,USC00129113,11378.0
1986,USC00129253,11962.0
1986,USC00129511,6713.0
1986,USC00129557,10560.0
1986,USC00129670,8926.0
1986,USC00130112,11276.0
1986,USC00130133,8549.0
1986,USC00130600,11365.0
1986,USC00131402,8967.0
1986,USC00131533,10448.0
1986,USC00131635,8647.0
1986,USC00132724,7988.0
1986,USC00132789,11966.0
1986,USC00132864,10142.0
1986,USC00132977,7567.0
1986,USC00132999,10924.0
1986,USC00134063,8744.0
1986,USC00134142,10281.0
1986,USC00134735,6847.0
1986,USC00134894,12158.0
1986,USC00135769,10821.0
1986,USC00135796,12251.0
1986,USC00135952,8649.0
1986,USC00137147,7774.0
1986,USC00137161,10343.0
1986,USC00137979,11527.0
1986,USC00138296,10412.0
1986,USC00138688,9959.0
1986,USC00250070,8277.0
1986,USC00250130,3932.0
1986,USC00250375,10907.0
1986,USC00250420,8654.0
1986,USC00250435,9294.0
1986,USC00250622,11291.0
1986,USC00250640,4849.0
1986,USC00251145,4320.0
1986,USC00251200,6405.0
1986,USC00252020,10039.0
1986,USC00252100,4524.0
1986,USC00252205,9843.0
1986,USC00252820,9742.0
1986,USC00252840,9885.0
1986,USC00253035,4920.0
1986,USC00253175,9912.0
1986,USC00253185,9138.0
1986,USC00253365,5180.0
1986,USC00253615,6801.0
1986,USC00253630,7699.0
1986,USC00253660,6754.0
1986,USC00253715,4184.0
1986,USC00253735,9692.0
1986,USC00253910,6046.0
1986,USC00254110,4991.0
1986,USC00254440,4586.0
1986,USC00254900,5152.0
1986,USC00254985,6274.0
1986,USC00255080,8466.0
1986,USC00255310,5481.0
1986,USC00255470,6418.0
1986,USC00255565,7423.0
1986,USC00256040,6649.0
1986,USC00256135,7300.0
1986,USC00256570,7321.0
1986,USC00256970,6361.0
1986,USC00257070,6503.0
1986,USC00257515,8006.0
1986,USC00257715,8119.0
1986,USC00258395,11019.0
1986,USC00258465,10305.0
1986,USC00258480,9650.0
1986,USC00258915,9128.0
1986,USC00259090,11653.0
1986,USC00259510,9502.0
1986,USC00331072,12259.0
1986,USC00331152,9379.0
1986,USC00331541,9203.0
1986,USC00331592,7761.0
1986,USC00331890,9826.0
1986,USC00332098,9082.0
1986,USC00332119,10428.0
1986,USC00332791,10423.0
1986,USC00333375,10675.0
1986,USC00333758,9749.0
1986,USC00333780,10304.0
1986,USC00334189,10696.0
1986,USC00335041,8953.0
1986,USC00335315,8807.0
1986,USC00336118,10108.0
1986,USC00336196,9620.0
1986,USC00336600,8745.0
1986,USC00336781,10482.0
1986,USC00338313,10903.0
1986,USC00338534,10030.0
1986,USC00338552,11688.0
1986,USC00338769,11728.0
1986,USC00338822,10828.0
1986,USC00338830,8179.0
1986,USC00339312,9476.0
1987,USC00110072,7936.0
1987,USC00110187,9492.0
1987,USC00110338,11100.0
1987,USC00111280,8128.0
1987,USC00111436,9147.0
1987,USC00112140,9144.0
1987,USC00112193,8032.0
1987,USC00112348,10106.0
1987,USC00112483,10475.0
1987,USC00113335,9048.0
1987,USC00113879,9618.0
1987,USC00114108,7066.0
1987,USC00114198,8904.0
1987,USC00114442,7898.0
1987,USC00114823,7096.0
1987,USC00115079,6552.0
1987,USC00115326,10015.0
1987,USC00115515,8788.0
1987,USC00115712,7649.0
1987,USC00115768,6569.0
1987,USC00115833,9670.0
1987,USC00115901,9202.0
1987,USC00115943,10215.0
1987,USC00116446,8948.0
1987,USC00116526,9953.0
1987,USC00116558,8094.0
1987,USC00116579,7754.0
1987,USC00116610,8882.0
1987,USC00116910,7619.0
1987,USC00117551,5154.0
1987,USC00118147,10081.0
1987,USC00118740,10516.0
1987,USC00118916,8767.0
1987,USC00119241,7444.0
1987,USC00119354,8897.0
1987,USC00120177,8709.0
1987,USC00120200,8773.0
1987,USC00120676,8537.0
1987,USC00120784,8486.0
1987,USC00121030,9194.0
1987,USC00121229,8764.0
1987,USC00121425,8562.0
1987,USC00121747,7117.0
1987,USC00121873,8172.0
1987,USC00122149,9646.0
1987,USC00123418,9506.0
1987,USC00123513,9972.0
1987,USC00123527,7895.0
1987,USC00124008,11443.0
1987,USC00124181,9061.0
1987,USC00124837,10279.0
1987,USC00125237,8375.0
1987,USC00125337,9568.0
1987,USC00126001,8544.0
1987,USC00126580,6777.0
1987,USC00126705,6076.0
1987,USC00127125,8769.0
1987,USC00127298,10122.0
1987,USC00127482,8757.0
1987,USC00127522,11238.0
1987,USC00127646,8935.0
1987,USC00127755,7541.0
1987,USC00127875,8439.0
1987,USC00127935,7072.0
1987,USC00128036,8352.0
1987,USC00129080,7667.0
1987,USC00129113,9231.0
1987,USC00129253,8741.0
1987,USC00129511,6533.0
1987,USC00129557,7923.0
1987,USC00129670,9384.0
1987,USC00130112,8943.0
1987,USC00130133,6508.0
1987,USC00130600,8885.0
1987,USC00131402,6238.0
1987,USC00131533,12190.0
1987,USC00131635,7755.0
1987,USC00132724,7380.0
1987,USC00132789,7041.0
1987,USC00132864,9000.0
1987,USC00132977,6190.0
1987,USC00132999,8374.0
1987,USC00134063,5323.0
1987,USC00134142,8062.0
1987,USC00134735,5388.0
1987,USC00134894,8321.0
1987,USC00135769,9737.0
1987,USC00135796,7452.0
1987,USC00135952,7286.0
1987,USC00137147,6065.0
1987,USC00137161,7462.0
1987,USC00137979,8849.0
1987,USC00138296,9423.0
1987,USC00138688,6474.0
1987,USC00250070,7165.0
1987,USC00250130,3443.0
1987,USC00250375,9396.0
1987,USC00250420,6367.0
1987,USC00250435,11263.0
1987,USC00250622,9152.0
1987,USC00250640,6279.0
1987,USC00251145,4914.0
1987,USC00251200,6555.0
1987,USC00252020,9274.0
1987,USC00252100,6690.0
1987,USC00252205,7986.0
1987,USC00252820,8696.0
1987,USC00252840,8768.0
1987,USC00253035,8738.0
1987,USC00253175,9628.0
1987,USC00253185,8139.0
1987,USC00253365,6717.0
1987,USC00253615,3513.0
1987,USC00253630,6279.0
1987,USC00253660,7694.0
1987,USC00253715,4221.0
1987,USC00253735,9230.0
1987,USC00253910,8533.0
1987,USC00254110,5507.0
1987,USC00254440,4949.0
1987,USC00254900,5420.0
1987,USC00254985,8464.0
