yearstation_id,year,station_id,avg_max_temperature,avg_min_temperature
1985USC00110072,1985,USC00110072,153.34794520547945,43.264462809917354
1985USC00110187,1985,USC00110187,192.65373961218836,78.10526315789474
1985USC00110338,1985,USC00110338,144.25205479452055,29.706849315068492
1985USC00111280,1985,USC00111280,169.8,65.13150684931507
1985USC00111436,1985,USC00111436,167.35616438356163,64.41369863013699
1985USC00112140,1985,USC00112140,170.57534246575344,52.04931506849315
1985USC00112193,1985,USC00112193,192.04029304029305,66.96703296703296
1985USC00112348,1985,USC00112348,148.04657534246576,13.095890410958905
1985USC00112483,1985,USC00112483,185.43287671232878,69.7068493150685
1985USC00113335,1985,USC00113335,144.36986301369862,33.5013698630137
1985USC00113879,1985,USC00113879,193.6904109589041,74.82191780821918
1985USC00114108,1985,USC00114108,161.46107784431138,46.74550898203593
1985USC00114198,1985,USC00114198,158.4849315068493,49.88767123287671
1985USC00114442,1985,USC00114442,163.38630136986302,38.63013698630137
1985USC00114823,1985,USC00114823,157.17808219178082,32.06849315068493
1985USC00115079,1985,USC00115079,162.22284122562675,49.01114206128134
1985USC00115326,1985,USC00115326,143.16438356164383,17.44109589041096
1985USC00115515,1985,USC00115515,179.53698630136986,67.4
1985USC00115712,1985,USC00115712,151.21917808219177,33.172602739726024
1985USC00115768,1985,USC00115768,155.33972602739726,32.43287671232877
1985USC00115833,1985,USC00115833,144.55890410958904,22.479224376731302
1985USC00115901,1985,USC00115901,139.56164383561645,3.536986301369863
1985USC00115943,1985,USC00115943,173.97435897435898,61.33522727272727
1985USC00116446,1985,USC00116446,170.07945205479453,68.35890410958905
1985USC00116526,1985,USC00116526,145.6,40.64383561643836
1985USC00116558,1985,USC00116558,175.14246575342466,71.63013698630137
1985USC00116579,1985,USC00116579,168.87671232876713,48.701369863013696
1985USC00116610,1985,USC00116610,170.7068493150685,62.21917808219178
1985USC00116910,1985,USC00116910,161.4245283018868,54.24683544303797
1985USC00117551,1985,USC00117551,165.93093922651934,51.19613259668508
1985USC00118147,1985,USC00118147,187.35342465753425,75.94246575342466
1985USC00118740,1985,USC00118740,158.27123287671233,50.35342465753425
1985USC00118916,1985,USC00118916,145.7041095890411,23.02191780821918
1985USC00119241,1985,USC00119241,161.33150684931508,47.9972602739726
1985USC00119354,1985,USC00119354,169.04383561643834,60.227397260273975
1985USC00120177,1985,USC00120177,152.03013698630136,59.81095890410959
1985USC00120200,1985,USC00120200,143.0027397260274,30.394520547945206
1985USC00120676,1985,USC00120676,158.81917808219177,54.64383561643836
1985USC00120784,1985,USC00120784,173.5013698630137,67.01643835616439
1985USC00121030,1985,USC00121030,178.86027397260273,43.93698630136986
1985USC00121229,1985,USC00121229,156.6,39.42191780821918
1985USC00121425,1985,USC00121425,179.95016611295682,64.22259136212625
1985USC00121747,1985,USC00121747,168.186301369863,56.679452054794524
1985USC00121873,1985,USC00121873,158.96712328767123,50.5972602739726
1985USC00122149,1985,USC00122149,167.65205479452055,48.9972602739726
1985USC00123418,1985,USC00123418,149.35068493150686,48.07945205479452
1985USC00123513,1985,USC00123513,167.5917808219178,59.76986301369863
1985USC00123527,1985,USC00123527,167.66027397260274,52.76986301369863
1985USC00124008,1985,USC00124008,155.25753424657535,41.83561643835616
1985USC00124181,1985,USC00124181,160.707182320442,39.35537190082645
1985USC00124837,1985,USC00124837,141.56986301369864,48.416438356164385
1985USC00125237,1985,USC00125237,187.24931506849316,71.69589041095891
1985USC00125337,1985,USC00125337,159.0082191780822,42.07945205479452
1985USC00126001,1985,USC00126001,186.06027397260274,69.15616438356165
1985USC00126580,1985,USC00126580,171.013698630137,51.66301369863014
1985USC00126705,1985,USC00126705,176.2203947368421,51.99342105263158
1985USC00127125,1985,USC00127125,176.3835616438356,73.10958904109589
1985USC00127298,1985,USC00127298,155.6027397260274,41.37808219178082
1985USC00127482,1985,USC00127482,146.64285714285714,41.03013698630137
1985USC00127522,1985,USC00127522,178.3021978021978,57.467032967032964
1985USC00127646,1985,USC00127646,160.1041095890411,48.345205479452055
1985USC00127755,1985,USC00127755,177.72054794520548,66.2
1985USC00127875,1985,USC00127875,178.7945205479452,61.92876712328767
1985USC00127935,1985,USC00127935,168.53698630136986,56.47671232876712
1985USC00128036,1985,USC00128036,178.6054794520548,56.082191780821915
1985USC00129080,1985,USC00129080,186.4986301369863,69.09041095890412
1985USC00129113,1985,USC00129113,171.23283582089553,65.46865671641791
1985USC00129253,1985,USC00129253,179.92602739726027,61.65558912386707
1985USC00129511,1985,USC00129511,150.32407407407408,32.29012345679013
1985USC00129557,1985,USC00129557,162.14520547945204,37.00821917808219
1985USC00129670,1985,USC00129670,160.1095890410959,26.427397260273974
1985USC00130112,1985,USC00130112,187.73858921161826,77.2396694214876
1985USC00130133,1985,USC00130133,122.69315068493151,11.808219178082192
1985USC00130600,1985,USC00130600,145.04383561643834,30.0
1985USC00131402,1985,USC00131402,133.92876712328768,14.63013698630137
1985USC00131533,1985,USC00131533,158.97808219178083,43.08516483516483
1985USC00131635,1985,USC00131635,149.4931506849315,33.12054794520548
1985USC00132724,1985,USC00132724,120.17534246575343,3.3013698630136985
1985USC00132789,1985,USC00132789,156.33516483516485,38.37362637362637
1985USC00132864,1985,USC00132864,135.5205479452055,10.753424657534246
1985USC00132977,1985,USC00132977,117.87362637362638,7.78393351800554
1985USC00132999,1985,USC00132999,141.76712328767124,11.005479452054795
1985USC00134063,1985,USC00134063,154.18715083798884,24.60632183908046
1985USC00134142,1985,USC00134142,184.7905982905983,57.78969957081545
